roomID,typeID,type
2051,2,student lab
2059,2,student lab
2069,2,student lab
2081,2,student lab
2089,2,student lab
2099,2,student lab
2209,2,student lab
2219,2,student lab
2221,2,student lab
2231,2,student lab
2243,2,student lab
3019,2,student lab
3051,2,student lab
3059,2,student lab
3061,2,student lab
3069,2,student lab
3081,2,student lab
3089,2,student lab
3099,2,student lab
3209,2,student lab
3211,2,student lab
3219,2,student lab
3221,2,student lab
3231,2,student lab
3243,2,student lab
4051,2,student lab
4059,2,student lab
4069,2,student lab
4061,2,student lab
4081,2,student lab
4089,2,student lab
4099,2,student lab
4209,2,student lab
4211,2,student lab
4219,2,student lab
4221,2,student lab
4231,2,student lab
4243,2,student lab
5051,2,student lab
5059,2,student lab
5069,2,student lab
5061,2,student lab
5081,2,student lab
5089,2,student lab
5099,2,student lab
5209,2,student lab
5211,2,student lab
5221,2,student lab
5231,2,student lab
5243,2,student lab
2065,1,meeting room
3065,1,meeting room
4065,1,meeting room
5065,1,meeting room
2032,1,meeting room
3032,1,meeting room
4032,1,meeting room
2222,1,meeting room
3013,1,meeting room
4333,1,meeting room
4013,1,meeting room
2092,6,office
2088,6,office
2086,6,office
2084,6,office
2082,6,office
2091,6,office
2076,6,office
2074,6,office
2068,6,office
2066,6,office
2064,6,office
2058,6,office
2056,6,office
2054,6,office
2052,6,office
2048,6,office
2044,6,office
2042,6,office
2038,6,office
2030,6,office
2028,6,office
2204,6,office
2206,6,office
2212,6,office
2214,6,office
2216,6,office
2224,6,office
2038,6,office
2030,6,office
2028,6,office
2228,6,office
2232,6,office
2241,6,office
3234,6,office
3232,6,office
3228,6,office
3226,6,office
3224,6,office
3222,6,office
3216,6,office
3214,6,office
3219,6,office
3212,6,office
3208,6,office
3206,6,office
3204,6,office
3206,6,office
3026,6,office
3028,6,office
3038,6,office
3042,6,office
3044,6,office
3048,6,office
3052,6,office
3054,6,office
3056,6,office
3058,6,office
3062,6,office
3064,6,office
2018,7,telecom
3018,7,telecom
3019,7,telecom
3014,7,telecom
3066,7,telecom
3068,7,telecom
3072,7,telecom
3074,7,telecom
3076,7,telecom
3082,7,telecom
3084,7,telecom
3086,7,telecom
3091,7,telecom
3092,7,telecom
4092,7,telecom
2202,2,meeting room
3012,8,janitor
3004,5,rest room
3002,5,rest room
3008,3,kitchen
3006,4,elevator
3011,0,conference room
2004,5,rest room
2002,5,rest room
4002,5,rest room
4004,5,rest room
3202,2,meeting room
4202,2,meeting room
2011,0,conference room
4011,0,conference room
5011,0,conference room
6011,0,conference room
2006,4,elevator
4006,4,elevator
2012,8,janitor
5006,4,elevator
2008,3,kitchen
4008,3,kitchen
5008,3,kitchen
6006,4,elevator
